Name, NSSDC,LaunchLoc,LaunchCountry,LaunchDate,URL
Mercury Atlas 4,1961-025A,Cape Canaveral, United States,9/13/61,/nmc/spacecraftDisplay.do?id=1961-025A
Discoverer 31,1961-026A,Vandenberg AFB, United States,9/17/61,/nmc/spacecraftDisplay.do?id=1961-026A
Discoverer 32,1961-027A,Vandenberg AFB, United States,10/13/61,/nmc/spacecraftDisplay.do?id=1961-027A
P21,P21,Wallops Island, United States,10/19/61,/nmc/spacecraftDisplay.do?id=P21
MIDAS  4,1961-028A,Point Arguello, United States,10/21/61,/nmc/spacecraftDisplay.do?id=1961-028A
Discoverer 33,DISC33,Vandenberg AFB, United States,10/23/61,/nmc/spacecraftDisplay.do?id=DISC33
Saturn SA-1,SATURNSA1,Cape Canaveral, United States,10/27/61,/nmc/spacecraftDisplay.do?id=SATURNSA1
Mercury Scout 1,MERCS1,Cape Canaveral, United States,11/1/61,/nmc/spacecraftDisplay.do?id=MERCS1
Discoverer 34,1961-029A,Vandenberg AFB, United States,11/5/61,/nmc/spacecraftDisplay.do?id=1961-029A
Discoverer 35,1961-030A,Vandenberg AFB, United States,11/15/61,/nmc/spacecraftDisplay.do?id=1961-030A
TRAAC,1961-031B,Cape Canaveral, United States,11/15/61,/nmc/spacecraftDisplay.do?id=1961-031B
Transit 4B,1961-031A,Cape Canaveral, United States,11/15/61,/nmc/spacecraftDisplay.do?id=1961-031A
Ranger 2,1961-032A,Cape Canaveral, United States,11/18/61,/nmc/spacecraftDisplay.do?id=1961-032A
SAMOS  4,NNN6101,Point Arguello, United States,11/22/61,/nmc/spacecraftDisplay.do?id=NNN6101
Mercury Atlas 5,1961-033A,Cape Canaveral, United States,11/29/61,/nmc/spacecraftDisplay.do?id=1961-033A
Discoverer 36,1961-034A,Vandenberg AFB, United States,12/12/61,/nmc/spacecraftDisplay.do?id=1961-034A
OSCAR  1,1961-034B,Vandenberg AFB, United States,12/12/61,/nmc/spacecraftDisplay.do?id=1961-034B
SAMOS  5,1961-035A,Point Arguello, United States,12/22/61,/nmc/spacecraftDisplay.do?id=1961-035A
Discoverer 37,DISC37,Vandenberg AFB, United States,1/13/62,/nmc/spacecraftDisplay.do?id=DISC37
Injun 2,INJUN2,Cape Canaveral, United States,1/24/62,/nmc/spacecraftDisplay.do?id=INJUN2
LOFTI 2,LOFTI2,Cape Canaveral, United States,1/24/62,/nmc/spacecraftDisplay.do?id=LOFTI2
SECOR  1A,SECOR1,Cape Canaveral, United States,1/24/62,/nmc/spacecraftDisplay.do?id=SECOR1
SR 4/GREB 4,SR4GREB,Cape Canaveral, United States,1/24/62,/nmc/spacecraftDisplay.do?id=SR4GREB
SURCAL 1,SURC1,Cape Canaveral, United States,1/24/62,/nmc/spacecraftDisplay.do?id=SURC1
Ranger 3,1962-001A,Cape Canaveral, United States,1/26/62,/nmc/spacecraftDisplay.do?id=1962-001A
TIROS  4,1962-002A,Cape Canaveral, United States,2/8/62,/nmc/spacecraftDisplay.do?id=1962-002A
Mercury Atlas 6,1962-003A,Cape Canaveral, United States,2/20/62,/nmc/spacecraftDisplay.do?id=1962-003A
1962 Delta 1,1962-004A,Vandenberg AFB, United States,2/21/62,/nmc/spacecraftDisplay.do?id=1962-004A
Discoverer 38,1962-005A,Vandenberg AFB, United States,2/27/62,/nmc/spacecraftDisplay.do?id=1962-005A
OSO 1,1962-006A,Cape Canaveral, United States,3/7/62,/nmc/spacecraftDisplay.do?id=1962-006A
SAMOS  6,1962-007A,Point Arguello, United States,3/7/62,/nmc/spacecraftDisplay.do?id=1962-007A
Cosmos    1,1962-008A,Kapustin Yar, U.S.S.R,3/16/62,/nmc/spacecraftDisplay.do?id=1962-008A
P21A,P21A,Wallops Island, United States,3/29/62,/nmc/spacecraftDisplay.do?id=P21A
Cosmos    2,1962-009A,Kapustin Yar, U.S.S.R,4/6/62,/nmc/spacecraftDisplay.do?id=1962-009A
MIDAS  5,1962-010A,Point Arguello, United States,4/9/62,/nmc/spacecraftDisplay.do?id=1962-010A
1962 Lambda 1,1962-011A,Vandenberg AFB, United States,4/18/62,/nmc/spacecraftDisplay.do?id=1962-011A
Ranger 4,1962-012A,Cape Canaveral, United States,4/23/62,/nmc/spacecraftDisplay.do?id=1962-012A
Cosmos    3,1962-013A,Kapustin Yar, U.S.S.R,4/24/62,/nmc/spacecraftDisplay.do?id=1962-013A
Saturn SA-2,SATURNSA2,Cape Canaveral, United States,4/25/62,/nmc/spacecraftDisplay.do?id=SATURNSA2
Ariel 1,1962-015A,Cape Canaveral, United States,4/26/62,/nmc/spacecraftDisplay.do?id=1962-015A
Cosmos    4,1962-014A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,4/26/62,/nmc/spacecraftDisplay.do?id=1962-014A
SAMOS  7,1962-016A,Point Arguello, United States,4/26/62,/nmc/spacecraftDisplay.do?id=1962-016A
SOLRAD  4B,SRAD4B,,,4/26/62,/nmc/spacecraftDisplay.do?id=SRAD4B
1962 Rho 1,1962-017A,Vandenberg AFB, United States,4/28/62,/nmc/spacecraftDisplay.do?id=1962-017A
Anna 1A,ANNA1,Cape Canaveral, United States,5/10/62,/nmc/spacecraftDisplay.do?id=ANNA1
KH-5 9034A,1962-018A,Vandenberg AFB, United States,5/15/62,/nmc/spacecraftDisplay.do?id=1962-018A
1962-010X,NNN6201,Point Arguello, United States,5/23/62,/nmc/spacecraftDisplay.do?id=NNN6201
Mercury Atlas 7,1962-019A,Cape Canaveral, United States,5/24/62,/nmc/spacecraftDisplay.do?id=1962-019A
Cosmos    5,1962-020A,Kapustin Yar, U.S.S.R,5/28/62,/nmc/spacecraftDisplay.do?id=1962-020A
1962 Phi 1,1962-021A,Vandenberg AFB, United States,5/30/62,/nmc/spacecraftDisplay.do?id=1962-021A
KH-4 9036,1962-022A,Vandenberg AFB, United States,6/2/62,/nmc/spacecraftDisplay.do?id=1962-022A
OSCAR  2,1962-022B,Vandenberg AFB, United States,6/2/62,/nmc/spacecraftDisplay.do?id=1962-022B
SAMOS  8,1962-023A,Point Arguello, United States,6/17/62,/nmc/spacecraftDisplay.do?id=1962-023A
1962 Omega 1,1962-024A,Vandenberg AFB, United States,6/18/62,/nmc/spacecraftDisplay.do?id=1962-024A
TIROS  5,1962-025A,Cape Canaveral, United States,6/19/62,/nmc/spacecraftDisplay.do?id=1962-025A
KH-4 9037,1962-026A,Vandenberg AFB, United States,6/23/62,/nmc/spacecraftDisplay.do?id=1962-026A
KH-4 9038,1962-027A,Vandenberg AFB, United States,6/28/62,/nmc/spacecraftDisplay.do?id=1962-027A
Cosmos    6,1962-028A,Kapustin Yar, U.S.S.R,6/30/62,/nmc/spacecraftDisplay.do?id=1962-028A
Telstar 1,1962-029A,Cape Canaveral, United States,7/10/62,/nmc/spacecraftDisplay.do?id=1962-029A
SAMOS  9,1962-030A,Cape Canaveral, United States,7/18/62,/nmc/spacecraftDisplay.do?id=1962-030A
KH-4 9039,1962-031A,Vandenberg AFB, United States,7/21/62,/nmc/spacecraftDisplay.do?id=1962-031A
Mariner  1,MARIN1,Cape Canaveral, United States,7/22/62,/nmc/spacecraftDisplay.do?id=MARIN1
Cosmos    7,1962-033A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,7/28/62,/nmc/spacecraftDisplay.do?id=1962-033A
KH-4 9040,1962-032A,Vandenberg AFB, United States,7/28/62,/nmc/spacecraftDisplay.do?id=1962-032A
KH-4 9041,1962-034A,Vandenberg AFB, United States,8/2/62,/nmc/spacecraftDisplay.do?id=1962-034A
SAMOS 10,1962-035A,Point Arguello, United States,8/5/62,/nmc/spacecraftDisplay.do?id=1962-035A
Vostok 3,1962-036A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,8/11/62,/nmc/spacecraftDisplay.do?id=1962-036A
Vostok 4,1962-037A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,8/12/62,/nmc/spacecraftDisplay.do?id=1962-037A
Cosmos    8,1962-038A,Kapustin Yar, U.S.S.R,8/18/62,/nmc/spacecraftDisplay.do?id=1962-038A
P35 2,1962-039A,Point Arguello, United States,8/23/62,/nmc/spacecraftDisplay.do?id=1962-039A
Sputnik 19,1962-040A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,8/25/62,/nmc/spacecraftDisplay.do?id=1962-040A
Mariner  2,1962-041A,Cape Canaveral, United States,8/27/62,/nmc/spacecraftDisplay.do?id=1962-041A
KH-4 9044,1962-042A,Vandenberg AFB, United States,8/29/62,/nmc/spacecraftDisplay.do?id=1962-042A
KH-5 9042A,1962-044A,Vandenberg AFB, United States,9/1/62,/nmc/spacecraftDisplay.do?id=1962-044A
Sputnik 20,1962-043A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,9/1/62,/nmc/spacecraftDisplay.do?id=1962-043A
Sputnik 21,1962-045A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,9/12/62,/nmc/spacecraftDisplay.do?id=1962-045A
ERS  2,1962-046A,Vandenberg AFB, United States,9/17/62,/nmc/spacecraftDisplay.do?id=1962-046A
TIROS  6,1962-047A,Cape Canaveral, United States,9/18/62,/nmc/spacecraftDisplay.do?id=1962-047A
Cosmos    9,1962-048A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,9/27/62,/nmc/spacecraftDisplay.do?id=1962-048A
Alouette 1,1962-049A,Vandenberg AFB, United States,9/29/62,/nmc/spacecraftDisplay.do?id=1962-049A
KH-4 9045,1962-050A,Vandenberg AFB, United States,9/29/62,/nmc/spacecraftDisplay.do?id=1962-050A
Explorer 14,1962-051A,Cape Canaveral, United States,10/2/62,/nmc/spacecraftDisplay.do?id=1962-051A
Mercury Atlas 8,1962-052A,Cape Canaveral, United States,10/3/62,/nmc/spacecraftDisplay.do?id=1962-052A
KH-5 9046A,1962-053A,Vandenberg AFB, United States,10/9/62,/nmc/spacecraftDisplay.do?id=1962-053A
Cosmos   10,1962-054A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,10/17/62,/nmc/spacecraftDisplay.do?id=1962-054A
Ranger 5,1962-055A,Cape Canaveral, United States,10/18/62,/nmc/spacecraftDisplay.do?id=1962-055A
Cosmos   11,1962-056A,Kapustin Yar, U.S.S.R,10/20/62,/nmc/spacecraftDisplay.do?id=1962-056A
Sputnik 22,1962-057A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,10/24/62,/nmc/spacecraftDisplay.do?id=1962-057A
STARAD,1962-058A,Vandenberg AFB, United States,10/26/62,/nmc/spacecraftDisplay.do?id=1962-058A
Explorer 15,1962-059A,Cape Canaveral, United States,10/27/62,/nmc/spacecraftDisplay.do?id=1962-059A
Anna 1B,1962-060A,Cape Canaveral, United States,10/31/62,/nmc/spacecraftDisplay.do?id=1962-060A
Mars 1,1962-061A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,11/1/62,/nmc/spacecraftDisplay.do?id=1962-061A
Sputnik 24,1962-062A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,11/4/62,/nmc/spacecraftDisplay.do?id=1962-062A
KH-4 9047,1962-063A,Vandenberg AFB, United States,11/5/62,/nmc/spacecraftDisplay.do?id=1962-063A
SAMOS 11,1962-064A,Point Arguello, United States,11/11/62,/nmc/spacecraftDisplay.do?id=1962-064A
Saturn SA-3,SATURNSA3,Cape Canaveral, United States,11/16/62,/nmc/spacecraftDisplay.do?id=SATURNSA3
KH-4 9048,1962-065A,Vandenberg AFB, United States,11/24/62,/nmc/spacecraftDisplay.do?id=1962-065A
KH-4 9049,1962-066A,Vandenberg AFB, United States,12/4/62,/nmc/spacecraftDisplay.do?id=1962-066A
1962 Beta Tau 1,1962-067A,Vandenberg AFB, United States,12/13/62,/nmc/spacecraftDisplay.do?id=1962-067A
Calsphere 1A,1962-067E,Vandenberg AFB, United States,12/13/62,/nmc/spacecraftDisplay.do?id=1962-067E
Injun 3,1962-067B,Vandenberg AFB, United States,12/13/62,/nmc/spacecraftDisplay.do?id=1962-067B
Relay 1,1962-068A,Cape Canaveral, United States,12/13/62,/nmc/spacecraftDisplay.do?id=1962-068A
SURCAL 1A,1962-067D,Vandenberg AFB, United States,12/13/62,/nmc/spacecraftDisplay.do?id=1962-067D
